,       MaxEStateIndex,       MinEStateIndex,    MaxAbsEStateIndex,    MinAbsEStateIndex,                  qed,                MolWt,       HeavyAtomMolWt,           ExactMolWt,  NumValenceElectrons,  NumRadicalElectrons,     MaxPartialCharge,     MinPartialCharge,  MaxAbsPartialCharge,  MinAbsPartialCharge,     FpDensityMorgan1,     FpDensityMorgan2,     FpDensityMorgan3,             BalabanJ,              BertzCT,                 Chi0,                Chi0n,                Chi0v,                 Chi1,                Chi1n,                Chi1v,                Chi2n,                Chi2v,                Chi3n,                Chi3v,                Chi4n,                Chi4v,        HallKierAlpha,                  Ipc,               Kappa1,               Kappa2,               Kappa3,            LabuteASA,            PEOE_VSA1,           PEOE_VSA10,           PEOE_VSA11,           PEOE_VSA12,           PEOE_VSA13,           PEOE_VSA14,            PEOE_VSA2,            PEOE_VSA3,            PEOE_VSA4,            PEOE_VSA5,            PEOE_VSA6,            PEOE_VSA7,            PEOE_VSA8,            PEOE_VSA9,             SMR_VSA1,            SMR_VSA10,             SMR_VSA2,             SMR_VSA3,             SMR_VSA4,             SMR_VSA5,             SMR_VSA6,             SMR_VSA7,             SMR_VSA8,             SMR_VSA9,           SlogP_VSA1,          SlogP_VSA10,          SlogP_VSA11,          SlogP_VSA12,           SlogP_VSA2,           SlogP_VSA3,           SlogP_VSA4,           SlogP_VSA5,           SlogP_VSA6,           SlogP_VSA7,           SlogP_VSA8,           SlogP_VSA9,          EState_VSA1,         EState_VSA10,         EState_VSA11,          EState_VSA2,          EState_VSA3,          EState_VSA4,          EState_VSA5,          EState_VSA6,          EState_VSA7,          EState_VSA8,          EState_VSA9,          VSA_EState1,         VSA_EState10,          VSA_EState2,          VSA_EState3,          VSA_EState4,          VSA_EState5,          VSA_EState6,          VSA_EState7,          VSA_EState8,          VSA_EState9,         FractionCSP3,       HeavyAtomCount,            NHOHCount,              NOCount,  NumAliphaticCarbocycles,  NumAliphaticHeterocycles,    NumAliphaticRings,  NumAromaticCarbocycles,  NumAromaticHeterocycles,     NumAromaticRings,        NumHAcceptors,           NumHDonors,       NumHeteroatoms,    NumRotatableBonds,  NumSaturatedCarbocycles,  NumSaturatedHeterocycles,    NumSaturatedRings,            RingCount,                MolMR,            fr_Al_COO,             fr_Al_OH,      fr_Al_OH_noTert,               fr_ArN,            fr_Ar_COO,              fr_Ar_N,             fr_Ar_NH,             fr_Ar_OH,               fr_COO,              fr_COO2,               fr_C_O,         fr_C_O_noCOO,               fr_C_S,             fr_HOCCN,             fr_Imine,               fr_NH0,               fr_NH1,               fr_NH2,               fr_N_O,    fr_Ndealkylation1,    fr_Ndealkylation2,         fr_Nhpyrrole,                fr_SH,          fr_aldehyde,   fr_alkyl_carbamate,      fr_alkyl_halide,      fr_allylic_oxid,             fr_amide,           fr_amidine,           fr_aniline,       fr_aryl_methyl,             fr_azide,               fr_azo,          fr_barbitur,           fr_benzene,    fr_benzodiazepine,          fr_bicyclic,             fr_diazo,   fr_dihydropyridine,           fr_epoxide,             fr_ester,             fr_ether,             fr_furan,           fr_guanido,           fr_halogen,           fr_hdrzine,           fr_hdrzone,         fr_imidazole,             fr_imide,           fr_isocyan,       fr_isothiocyan,            fr_ketone,    fr_ketone_Topliss,            fr_lactam,           fr_lactone,           fr_methoxy,        fr_morpholine,           fr_nitrile,             fr_nitro,        fr_nitro_arom,  fr_nitro_arom_nonortho,           fr_nitroso,           fr_oxazole,             fr_oxime,  fr_para_hydroxylation,            fr_phenol,  fr_phenol_noOrthoHbond,         fr_phos_acid,        fr_phos_ester,         fr_piperdine,         fr_piperzine,          fr_priamide,      fr_prisulfonamd,          fr_pyridine,             fr_quatN,           fr_sulfide,         fr_sulfonamd,           fr_sulfone,    fr_term_acetylene,         fr_tetrazole,          fr_thiazole,          fr_thiocyan,         fr_thiophene,     fr_unbrch_alkane,              fr_urea, 
          SlogP_VSA5,  0.12573, -0.17426, -0.10252, -0.06617,  0.31374,  0.26436, -0.17209, -0.14973, -0.02833,  0.41424, -0.18169,  0.02425,  0.09880,  0.13579, -0.09006,  0.09217, -0.10944,  0.03986,  0.07074,  0.00482,  0.20474, -0.03526,  0.20308, -0.13842, -0.11646,  0.21566,  0.09462,  0.07200,  0.14887, -0.04568, -0.18078, -0.00576,  0.09246,  0.08408,  0.10335,  0.02791,  0.01341, -0.01064, -0.05244, -0.00608,  0.19923,  0.38746, -0.00930,  0.15692,  0.03189,  0.00565, -0.15523,  0.02171,  0.04689,  0.15289,  0.05194,  0.16979,  0.13102,  0.15542, -0.01232,  0.14828, -0.13211,  0.11003,  0.11281, -0.03086,  0.00793, -0.01183,  0.16927, -0.02065,  0.09784, -0.07840, -0.02008,  0.02425,  1.00000, -0.01259,  0.23545, -0.02706,  0.02896,  0.09967,  0.01620, -0.02931,  0.02882,  0.31280, -0.14007,  0.04583, -0.04150,  0.02425,  0.04419,  0.21095,  0.08971,  0.15088,  0.02443, -0.07345,  0.22027,  0.02904,  0.07794,  0.02425,  0.32515,  0.04105, -0.05884,  0.20368, -0.11224,  0.13224, -0.00862,  0.02437,  0.01194,  0.11910, -0.05450, -0.03101, -0.02438,  0.06051,  0.28137, -0.00229,  0.09334,  0.36112,  0.08030,  0.03366,  0.19373,  0.22170, -0.02688,  0.28623,  0.46203,  0.02630, -0.13269, -0.16999,  0.13853, -0.16647, -0.06737, -0.08190,  0.18615,  0.27587,  0.01495, -0.01735,  0.17592,  0.04368, -0.05730,  0.21073,  0.12312,  0.07630,  0.15272,  0.02834,  0.04213, -0.03754, -0.04287, -0.11427,  0.08967,  0.15205,  0.02499,  0.22328,  0.10863,  0.35556,  0.03588,  0.33967, -0.09929, -0.13532,  0.24915, -0.06031, -0.14112, -0.12253,  0.17372, -0.12837,  0.01244,  0.16734,  0.11026, -0.13395,  0.09864,  0.02270,  0.03325,  0.03849,  0.02171,  0.02503,  0.04745,  0.01885, -0.11993,  0.15886, -0.02421,  0.02425, -0.14912, -0.18015,  0.09284,  0.02429,  0.02431, -0.10616,  0.38060, -0.01948,  0.00533,  0.04912, -0.11072, -0.03679, -0.05995, -0.04314, -0.07328, -0.07635, -0.08701, -0.04236,  0.02381,  0.02068, -0.02136, -0.01668, -0.03115,  0.02117, -0.04883, -0.04223, 
          SlogP_VSA6,  0.02377, -0.03636,  0.18540,  0.18659,  0.31514,  0.32460,  0.33305, -0.01631,  0.06095,  0.09816,  0.02266, -0.00302,  0.08386,  0.02524, -0.00893,  0.08527,  0.10188,  0.10046,  0.01487,  0.15144, -0.02604,  0.01933,  0.10697,  0.08021, -0.10536, -0.04273,  0.13592, -0.00468, -0.03619,  0.02886,  0.07950, -0.00586,  0.01604, -0.06475,  0.00613,  0.03691,  0.10519,  0.03374, -0.11003,  0.12463,  0.12007, -0.10073,  0.14553, -0.04896,  0.05641, -0.03341, -0.13077, -0.03601,  0.12258,  0.20889,  0.17592,  0.00411, -0.06793,  0.15761,  0.05111,  0.08479,  0.12713,  0.03874,  0.15479,  0.01058,  0.18434,  0.04977, -0.10211,  0.13305,  0.08328,  0.08445,  0.03566, -0.00302, -0.01259,  1.00000,  0.11131,  0.19993, -0.00191,  0.09630,  0.17992,  0.05582, -0.00680,  0.05592,  0.12227, -0.06954,  0.16362, -0.00302,  0.16844, -0.02255,  0.09328,  0.00878, -0.00307,  0.15759,  0.28084, -0.00269,  0.48266, -0.00302,  0.12106, -0.00076, -0.01602,  0.10043,  0.06103,  0.01529,  0.04289, -0.00325,  0.00635,  0.02674,  0.12988,  0.06794,  0.20485,  0.01161,  0.08001, -0.02209,  0.22352,  0.22490,  0.33943, -0.00498,  0.19949,  0.25784, -0.05041, -0.06058, -0.02733, -0.02462,  0.04999,  0.17350, -0.04892,  0.01884,  0.08467,  0.14483,  0.26496,  0.10370,  0.21108,  0.01094,  0.16494, -0.20257, -0.05794,  0.02517, -0.02328, -0.06785,  0.05901,  0.01569,  0.04096,  0.10067,  0.03137, -0.09950,  0.15615,  0.45147, -0.00389,  0.18573,  0.10589,  0.00620,  0.10442, -0.11033,  0.03779,  0.23330, -0.04527, -0.00667,  0.15160,  0.08022,  0.08251,  0.14883,  0.01890, -0.03054, -0.08031,  0.15480, -0.15239, -0.10528, -0.17217,  0.14752,  0.01942,  0.03851, -0.00778, -0.01592, -0.00021,  0.18610,  0.06857, -0.00302,  0.05725,  0.18918,  0.11569, -0.00303, -0.03131,  0.00468,  0.09660,  0.06765, -0.03940,  0.11947,  0.00864,  0.04616,  0.01926, -0.01717,  0.00008, -0.05200, -0.04409, -0.03162, -0.00380, -0.06522, -0.05452, -0.06418, -0.02204, -0.00466, -0.03260, -0.03267, 
          SlogP_VSA7,  0.05337, -0.02177, -0.09148, -0.02928,  0.46377,  0.45610,  0.21710,  0.01595, -0.05657,  0.35508,  0.00617, -0.00085,  0.19413, -0.03325,  0.02825,  0.06871,  0.26576,  0.31093,  0.00704,  0.13332,  0.17538,  0.10560,  0.37948, -0.11584, -0.12677,  0.03161,  0.02959, -0.03782,  0.16321,  0.03309,  0.11739,  0.06477,  0.07757,  0.02771,  0.06834,  0.09613,  0.31921,  0.22320, -0.17612,  0.28523,  0.78181, -0.01082,  0.28382,  0.06184, -0.09756, -0.05123, -0.00023, -0.03221,  0.08300,  0.06608,  0.15309,  0.06098, -0.10794,  0.68684, -0.00982, -0.10839,  0.06083,  0.22708,  0.52757, -0.09123,  0.55757, -0.03250, -0.07420,  0.14364,  0.12652,  0.09416,  0.14730, -0.00085,  0.23545,  0.11131,  1.00000,  0.16998, -0.00030, -0.00279,  0.12798,  0.29778, -0.02264,  0.80877,  0.04555, -0.06002,  0.10159, -0.00085,  0.09336,  0.12217, -0.03899,  0.07119, -0.00091,  0.10271,  0.67986, -0.00311,  0.02268, -0.00085, -0.03768,  0.00778,  0.03318,  0.60901,  0.09012,  0.06956, -0.00523, -0.00122, -0.07977, -0.12541,  0.06662,  0.00923, -0.03932,  0.02930, -0.08459, -0.01998,  0.01920,  0.55550,  0.16330, -0.00270,  0.84077, -0.13957,  0.01707,  0.08233,  0.74314, -0.10366,  0.58119, -0.24867,  0.33174,  0.38587,  0.04227,  0.69861,  0.22447,  0.18556, -0.00205, -0.03496,  0.45177, -0.09069, -0.01559,  0.31651,  0.12513, -0.12203,  0.06995, -0.00381,  0.05642,  0.70701,  0.43821, -0.10717,  0.37411,  0.12335, -0.00193,  0.63596,  0.68926,  0.49578, -0.06040,  0.24893,  0.13639,  0.05385,  0.04184, -0.00110,  0.00723,  0.02817,  0.49365,  0.07328,  0.15182,  0.02408,  0.00239,  0.09675,  0.08153,  0.07291,  0.06194,  0.07204, -0.00541,  0.03751, -0.03234, -0.11914, -0.04091,  0.22989, -0.07822, -0.00085, -0.02123,  0.06384,  0.36503, -0.00088, -0.07092,  0.01698,  0.36865,  0.07526,  0.12014,  0.11030, -0.09482, -0.03953, -0.08458, -0.06877, -0.05096, -0.04194, -0.06006, -0.07517, -0.00249, -0.05898, -0.08020, -0.05356, -0.07435, -0.00426, -0.10556, -0.06217, 
          SlogP_VSA8,  0.22912,  0.40885, -0.13716,  0.69337,  0.15173,  0.15405,  0.31858,  0.44410,  0.42034, -0.07775,  0.11434, -0.00048,  0.35585, -0.06543,  0.56481,  0.47314,  0.64653,  0.35771,  0.22698,  0.61381, -0.00207,  0.44264,  0.49960, -0.04876,  0.19077,  0.08573,  0.40369, -0.05054,  0.03529,  0.46549,  0.77227,  0.02699,  0.00061,  0.52397,  0.43461,  0.82181,  0.39268,  0.11289, -0.14729,  0.19124,  0.11251, -0.15637,  0.18553, -0.07821, -0.05404,  0.18827,  0.05394, -0.04399,  0.17030,  0.17755,  0.93736,  0.32368,  0.22071,  0.39621,  0.56358, -0.09662,  0.15302,  0.48410,  0.15462, -0.06402,  0.39843, -0.04107, -0.11063,  0.84182,  0.53488,  0.11823,  0.13761, -0.00047, -0.02706,  0.19993,  0.16998,  1.00000,  0.00552,  0.28961,  0.54519,  0.09194, -0.01271,  0.03903,  0.15984, -0.08168, -0.00379, -0.00047, -0.02137, -0.06258,  0.03496,  0.17580, -0.00013,  0.06348,  0.28089,  0.03391, -0.00235, -0.00047,  0.05168,  0.10806,  0.16387,  0.43973,  0.62739,  0.66944,  0.30067, -0.00087, -0.11393, -0.12532,  0.19154,  0.21098,  0.03661,  0.12527, -0.11292, -0.03349,  0.24207,  0.08200,  0.30539, -0.01074,  0.21599, -0.07569,  0.20575, -0.00356, -0.01117,  0.39241,  0.34316, -0.07614, -0.05454,  0.30660,  0.25967,  0.31424,  0.06547,  0.34671,  0.31689,  0.10936,  0.57223, -0.14120,  0.01988,  0.02203, -0.06433,  0.03610,  0.50343,  0.10770,  0.11316,  0.22082,  0.57460,  0.24896,  0.32625,  0.11741,  0.00651,  0.17072,  0.24512, -0.00444, -0.01736,  0.13112,  0.08770,  0.20490,  0.00191,  0.39775,  0.18601,  0.14544,  0.48234,  0.15387,  0.06289, -0.06866,  0.28625,  0.86842, -0.09374, -0.10810, -0.13950,  0.48870,  0.28455,  0.54006, -0.02981,  0.00319,  0.07156,  0.62681, -0.06836, -0.00047,  0.04674,  0.36175,  0.23934, -0.00053,  0.09066,  0.06625, -0.07204,  0.57732, -0.03548,  0.51424,  0.16082,  0.18821,  0.16375,  0.08799,  0.27049,  0.11428,  0.19016,  0.28173, -0.00018,  0.05971,  0.23281,  0.06900,  0.18901,  0.00642,  0.16669,  0.30499, 
          SlogP_VSA9,  0.12422,  0.01843, -0.02720,  0.01109, -0.01084, -0.01216,  0.00922, -0.00682, -0.01174,  0.19578,  0.02754,  0.99887, -0.00899,  0.67207,  0.00916,  0.25674,  0.00799,  0.00184,  0.76415,  0.00433, -0.00591, -0.00621, -0.00321, -0.00013,  0.00009,  0.19347,  0.06019,  0.94324, -0.01502,  0.01913,  0.01458, -0.01803,  0.82517,  0.00250,  0.00539, -0.00386, -0.00623, -0.01235, -0.02264,  0.02585,  0.00354,  0.31867, -0.00091,  0.78444,  0.94068, -0.02134, -0.00468,  0.98070,  0.00025, -0.01444, -0.00025,  0.21926, -0.01535,  0.00389,  0.01232,  0.01719, -0.01340,  0.00602, -0.01275, -0.01970,  0.01672, -0.02014,  0.88519,  0.00490,  0.03782, -0.01240,  0.01850,  0.99887,  0.02896, -0.00191, -0.00030,  0.00552,  1.00000,  0.86276, -0.00072, -0.00905,  0.78152,  0.01369, -0.01216,  0.93752, -0.01546,  0.99887, -0.00953,  0.16388, -0.02172,  0.92833,  0.99888, -0.02239, -0.00077,  0.99804,  0.01623,  0.99887, -0.02147,  0.88674,  0.00571,  0.00077, -0.00236,  0.04492, -0.00263,  0.99887,  0.23393,  0.15858, -0.00572,  0.02347, -0.01691,  0.96917,  0.38248,  0.03207,  0.16417,  0.00674,  0.00796,  0.99696,  0.00751,  0.08290,  0.00329,  0.03126,  0.07311,  0.03481,  0.00652,  0.00676, -0.01683,  0.02057, -0.00274,  0.00348, -0.00829,  0.00826, -0.01305,  0.03677,  0.02638,  0.15065,  0.01716, -0.00579, -0.01495,  0.60653,  0.04550,  0.98657,  0.89725,  0.00187,  0.00156, -0.00770, -0.01455, -0.01383,  0.99894, -0.00094, -0.00282,  0.29569, -0.00772, -0.02453, -0.01546, -0.00967,  0.10576,  0.01888, -0.01045, -0.01422,  0.01291, -0.01058, -0.00539, -0.01724,  0.58997,  0.00152,  0.03632,  0.18264,  0.06608, -0.00384,  0.22708,  0.51183,  0.99215,  0.00446,  0.02243,  0.00719, -0.01133,  0.99887, -0.01344, -0.00471, -0.00821,  0.99887, -0.01739, -0.00142,  0.20594,  0.00465, -0.02712,  0.15905, -0.01012, -0.01907, -0.01864, -0.00930,  0.14334,  0.03177,  0.03226,  0.50500,  0.99881,  0.73056,  0.57998,  0.39631,  0.00082,  0.99829, -0.02155, -0.00546, 
         EState_VSA1,  0.18534,  0.27294,  0.02420,  0.30919,  0.04798,  0.04670,  0.00183,  0.19754,  0.28537,  0.23416,  0.07597,  0.85282,  0.06845,  0.59602,  0.15527,  0.37964,  0.11999,  0.07257,  0.77522,  0.15467,  0.04369,  0.08189,  0.13653, -0.02104,  0.07879,  0.34003,  0.30668,  0.83592, -0.06039,  0.29808,  0.26119, -0.04347,  0.78354,  0.14829,  0.29694,  0.29298,  0.05532, -0.05770, -0.07523,  0.14476, -0.00538,  0.33234, -0.01492,  0.67672,  0.81451,  0.11901, -0.07218,  0.83684,  0.06635,  0.07091,  0.30413,  0.31999,  0.26187,  0.07691,  0.19464,  0.04105,  0.02140,  0.14719,  0.00271,  0.00434, -0.03761,  0.00024,  0.80968,  0.27507,  0.21188, -0.01674,  0.10663,  0.85282,  0.09967,  0.09630, -0.00279,  0.28961,  0.86276,  1.00000,  0.14410, -0.02809,  0.74094,  0.02583, -0.00452,  0.80506, -0.00837,  0.85282,  0.05998,  0.17518, -0.02246,  0.86790,  0.85311, -0.00721, -0.01180,  0.86849,  0.06047,  0.85282,  0.00863,  0.89667,  0.05991,  0.09716,  0.13759,  0.33527,  0.11482,  0.85285,  0.25487,  0.17408, -0.05484,  0.29397,  0.05371,  0.87272,  0.41004,  0.11928,  0.44660,  0.05667,  0.00823,  0.85265, -0.00257,  0.19324,  0.17964,  0.03407,  0.08770,  0.16089, -0.05346,  0.00310, -0.04683,  0.02233, -0.04281, -0.05069,  0.03118,  0.11354,  0.24135,  0.21763,  0.17129,  0.13009,  0.09675, -0.00591, -0.02461,  0.68547,  0.20375,  0.91120,  0.83817, -0.06231,  0.11523,  0.20357,  0.01414,  0.03095,  0.85745, -0.01466, -0.01607,  0.26498,  0.01633, -0.02877, -0.06959, -0.05622,  0.20343,  0.32421,  0.02012, -0.00478,  0.12903,  0.01827, -0.02118, -0.01657,  0.63716,  0.25450, -0.00030,  0.14414,  0.03177,  0.33304,  0.28716,  0.66040,  0.85506,  0.07901,  0.09759,  0.18009,  0.01040,  0.85282, -0.04415, -0.02861, -0.01846,  0.85284, -0.03161, -0.01272,  0.24218,  0.13953, -0.00099,  0.30817,  0.15638,  0.13590,  0.15250,  0.07658,  0.33613,  0.10427,  0.17494,  0.69526,  0.85479,  0.71214,  0.70492,  0.42082,  0.16349,  0.86010,  0.13281,  0.18377, 
        EState_VSA10,  0.41842, -0.03468, -0.04843,  0.68179,  0.14902,  0.15299,  0.26463, -0.02141, -0.05717,  0.03966,  0.00985, -0.01112,  0.49289, -0.00134,  0.63664,  0.77504,  0.69162,  0.39944,  0.35156,  0.85121,  0.10563,  0.52263,  0.63336,  0.01490, -0.08586, -0.05026,  0.65164, -0.02666,  0.03184,  0.43395,  0.65366,  0.10076, -0.03852,  0.73266,  0.01471,  0.67753,  0.39481,  0.07572, -0.09017,  0.03391,  0.09520,  0.05214,  0.11224, -0.07869, -0.00649, -0.01212, -0.04763, -0.02696,  0.05262,  0.03042,  0.52564,  0.59988, -0.01471,  0.54662,  0.78124, -0.12240, -0.06566,  0.73806,  0.18832,  0.02921,  0.19479, -0.03583, -0.09617,  0.71326,  0.76017,  0.03236,  0.02435, -0.01112,  0.01620,  0.17992,  0.12798,  0.54519, -0.00072,  0.14410,  1.00000,  0.03852, -0.04289,  0.12309, -0.03698, -0.04114,  0.34076, -0.01112,  0.21516,  0.00174, -0.07609,  0.25466, -0.01077,  0.04781,  0.23667,  0.03274,  0.05355, -0.01112,  0.10545, -0.02839,  0.03369,  0.57060,  0.63563,  0.58037,  0.46800, -0.01130, -0.08669, -0.10624,  0.05400,  0.01764,  0.00286,  0.18877, -0.09399, -0.06466,  0.02285,  0.16481,  0.08202, -0.01931,  0.17246,  0.10087, -0.06112, -0.03458,  0.04324,  0.57935,  0.15452,  0.01917,  0.07614,  0.12519,  0.04559,  0.16623,  0.19558,  0.57053, -0.00217, -0.04016,  0.72102, -0.10134,  0.00940,  0.10918, -0.02892, -0.12565,  0.73857,  0.06559,  0.20900,  0.12620,  0.71354, -0.06724,  0.09149,  0.04129, -0.00403,  0.14602,  0.14942,  0.04214,  0.02328,  0.02833,  0.07073,  0.02082, -0.05771, -0.04735, -0.04825, -0.04833,  0.71378, -0.05070, -0.00881,  0.22917,  0.46534,  0.63560,  0.02072,  0.00827, -0.00638, -0.01873,  0.47233,  0.64939, -0.02133, -0.05169, -0.00029,  0.71972, -0.03476, -0.01112,  0.23964,  0.05219,  0.08299, -0.01116, -0.09254, -0.02007,  0.03096,  0.79451,  0.12167,  0.81004, -0.03462, -0.03215,  0.02933, -0.04464, -0.04156, -0.03759, -0.03316, -0.05026, -0.01185, -0.05545, -0.05953, -0.04712, -0.04883, -0.01163, -0.03108,  0.12720, 
        EState_VSA11, -0.10031,  0.06630,  0.03397, -0.05924,  0.20122,  0.20166,  0.29800,  0.10860, -0.03416,  0.08522,  0.18431, -0.00856,  0.01067, -0.02736,  0.11725, -0.05322,  0.23613,  0.43017,  0.23681,  0.06098,  0.02982,  0.11987,  0.03989,  0.05920,  0.08802, -0.07664,  0.06813, -0.03518, -0.01504,  0.01306,  0.13264, -0.02017, -0.00177, -0.03359,  0.02560,  0.00632,  0.44690,  0.11365, -0.12727,  0.14883,  0.16101, -0.19363,  0.17802,  0.35625, -0.06557,  0.00750,  0.23806, -0.01502,  0.61347,  0.21718,  0.07698,  0.04167,  0.00449,  0.15712,  0.01802,  0.56208,  0.10211,  0.45995,  0.71731,  0.00170,  0.36848,  0.02848, -0.06544,  0.13718,  0.03661,  0.88616,  0.01446, -0.00856, -0.02931,  0.05582,  0.29778,  0.09194, -0.00905, -0.02809,  0.03852,  1.00000, -0.01848,  0.14987,  0.08004, -0.00979,  0.03227, -0.00856,  0.08985,  0.77089,  0.05050, -0.02757, -0.00874,  0.17938,  0.20066, -0.01409,  0.49356, -0.00856, -0.06611,  0.18578,  0.14228,  0.14056,  0.10396,  0.30653,  0.00360, -0.00886, -0.03754, -0.05926,  0.82034, -0.01371, -0.03612, -0.01113, -0.13164,  0.01362, -0.07975,  0.06221,  0.33339, -0.01119,  0.21410, -0.11647,  0.24806,  0.61449,  0.08714,  0.36668,  0.33768, -0.11757,  0.08470,  0.32216,  0.19491,  0.38415,  0.05406, -0.07731,  0.52976, -0.00326,  0.05623, -0.12131,  0.11818, -0.00319,  0.04713, -0.11570, -0.05219, -0.02287,  0.25156,  0.42731,  0.32691, -0.00033,  0.39839,  0.36297, -0.00944,  0.31067,  0.35168,  0.43115,  0.00164,  0.03542,  0.76382,  0.76853, -0.10139,  0.00781,  0.09539,  0.06548,  0.06505,  0.10966,  0.73329, -0.08961, -0.08228,  0.08122, -0.07467, -0.05030, -0.06580,  0.37646, -0.02873, -0.02677, -0.03393,  0.01680,  0.14810,  0.11752, -0.02838, -0.00856,  0.13023,  0.39847,  0.72692, -0.00860,  0.08051,  0.17768,  0.08747,  0.26834,  0.13274,  0.00407, -0.00288,  0.16632,  0.01106, -0.00059, -0.01021,  0.01146,  0.00598, -0.03902, -0.00978, -0.03330, -0.01114,  0.01210, -0.00102, -0.01104,  0.01849,  0.02544, 
         EState_VSA2,  0.04806,  0.32739, -0.01723,  0.01445, -0.02954, -0.02829, -0.02403,  0.01032,  0.03502,  0.13126,  0.47096,  0.75423, -0.04341,  0.51408,  0.19696,  0.17274, -0.00466, -0.01143,  0.60447, -0.03229, -0.02412, -0.01291, -0.04204, -0.01437,  0.03510,  0.59395,  0.22561,  0.71281, -0.05936,  0.39243,  0.16217, -0.06777,  0.86526,  0.01757,  0.27927, -0.02247, -0.02062, -0.04261, -0.05171,  0.42291, -0.01818,  0.24564, -0.04766,  0.60480,  0.72271, -0.03715, -0.00025,  0.74716,  0.19307, -0.04136, -0.01274,  0.15908,  0.03845, -0.04290,  0.11484,  0.05489, -0.01409, -0.01676, -0.02719, -0.02420, -0.03806, -0.02625,  0.83436, -0.02377,  0.04461, -0.01273,  0.44284,  0.75423,  0.02882, -0.00680, -0.02264, -0.01271,  0.78152,  0.74094, -0.04289, -0.01848,  1.00000, -0.00928, -0.01579,  0.71745, -0.02108,  0.75423,  0.00992,  0.12373,  0.00935,  0.71103,  0.75428, -0.04609, -0.02349,  0.75454, -0.00203,  0.75423, -0.02732,  0.78762,  0.30701, -0.04932,  0.01638,  0.20273, -0.02091,  0.75432,  0.19990,  0.14804, -0.02475,  0.44587,  0.03356,  0.73023,  0.33138,  0.58485,  0.15672,  0.00306, -0.00399,  0.75491, -0.01356,  0.07500,  0.22868,  0.03383,  0.05521,  0.03758, -0.04622,  0.02337, -0.02803,  0.23942, -0.01449, -0.03917,  0.00090, -0.00280,  0.00819,  0.57726,  0.01152,  0.08744,  0.47358, -0.05550,  0.01288,  0.45831,  0.04183,  0.77224,  0.74077, -0.02841, -0.02484,  0.15494, -0.01598,  0.00628,  0.75424,  0.00626, -0.02169,  0.22776,  0.08535, -0.06434, -0.02456, -0.02875,  0.06832,  0.35911, -0.00798, -0.01748, -0.00913, -0.01354, -0.01036, -0.06399,  0.42808, -0.00380, -0.02093,  0.09935,  0.00961,  0.00725,  0.18804,  0.50924,  0.75178,  0.38750,  0.48328, -0.01506, -0.00168,  0.75423, -0.00526, -0.00191, -0.01228,  0.75424,  0.01091,  0.08937,  0.13818, -0.01685, -0.03345,  0.11126,  0.16145, -0.02279, -0.02643, -0.01012,  0.11558,  0.02846,  0.11098,  0.53373,  0.75451,  0.56102,  0.44239,  0.30419,  0.00243,  0.75431, -0.04371, -0.01156, 
         EState_VSA3,  0.24754, -0.08419, -0.06546, -0.04399,  0.47935,  0.47483, -0.00798, -0.06999, -0.03218,  0.43331, -0.08961,  0.01200,  0.24357, -0.00146, -0.09104,  0.13742,  0.13741,  0.27136,  0.01797,  0.07195,  0.16424,  0.00810,  0.34717, -0.02896, -0.16212,  0.09164,  0.01854,  0.01744,  0.36223, -0.01025, -0.03716,  0.21656,  0.10654,  0.05840, -0.02049,  0.03526,  0.25612,  0.16728, -0.05892,  0.24716,  0.86692,  0.05784,  0.32824,  0.12461, -0.01951, -0.03396, -0.10180, -0.02014, -0.05077, -0.08305,  0.04139,  0.16779, -0.08311,  0.74303, -0.03473, -0.11672, -0.05490,  0.21065,  0.36549, -0.09437,  0.42845, -0.07026, -0.00860,  0.01714,  0.08840, -0.03089,  0.14090,  0.01200,  0.31280,  0.05592,  0.80877,  0.03903,  0.01369,  0.02583,  0.12309,  0.14987, -0.00928,  1.00000, -0.07043, -0.04394,  0.10449,  0.01200,  0.01627,  0.14094, -0.17544,  0.09660,  0.01204, -0.03090,  0.63225,  0.01313,  0.10480,  0.01200,  0.00103,  0.00806, -0.12468,  0.63723,  0.00671,  0.07800, -0.01975,  0.01189, -0.08543, -0.07680, -0.06221, -0.01681, -0.02083,  0.05203, -0.03867, -0.06099,  0.02335,  0.69930, -0.05220,  0.01575,  0.85892, -0.00965, -0.01604,  0.12858,  0.88773, -0.10667,  0.38422, -0.13042,  0.39085,  0.19291, -0.10726,  0.46213,  0.18138,  0.39776,  0.01175, -0.05748,  0.47379,  0.05641, -0.09951,  0.44666,  0.19783, -0.02004,  0.08296,  0.01690,  0.06907,  0.59803,  0.27129, -0.08907,  0.09833,  0.00313,  0.01214,  0.66655,  0.68503,  0.63361, -0.09618,  0.29138,  0.10566, -0.00309,  0.17363,  0.00356, -0.10338, -0.06944,  0.58449, -0.05303,  0.17123,  0.21250,  0.07797, -0.01241,  0.32245,  0.26088,  0.28892,  0.00982,  0.00637,  0.04014,  0.00774, -0.18933, -0.10646,  0.13995, -0.06290,  0.01200, -0.15992, -0.12340,  0.34391,  0.01201, -0.11022, -0.03445,  0.42404,  0.03234,  0.03850,  0.10311, -0.14177, -0.10118, -0.10882, -0.08285, -0.05363, -0.04163, -0.07201, -0.06299,  0.01091, -0.04160, -0.06870, -0.03333, -0.09302,  0.00948, -0.11523, -0.08526, 
